ALLELE	MODEL	ETA	NHIDDEN	ENCODING	PCC	MSE
A2601	ANN	1	3	bl	0.77881	0.0103979
A2601	ANN	1	3	sp	0.70073	0.0137312
A2601	ANN	1	5	bl	0.77812	0.010452
A2601	ANN	1	5	sp	0.71493	0.0135078
B0702	ANN	0.1	2	bl	0.83184	0.0156812
B0702	ANN	0.1	2	sp	0.82057	0.0164699
B0702	ANN	0.1	3	bl	0.83398	0.0154749
B0702	ANN	0.1	3	sp	0.81932	0.016582
B0702	ANN	0.1	5	bl	0.82795	0.0160088
B0702	ANN	0.1	5	sp	0.81801	0.016732
B0702	ANN	0.5	2	bl	0.82889	0.0158992
B0702	ANN	0.5	2	sp	0.81942	0.0165648
B0702	ANN	0.5	3	bl	0.83440	0.0154005
B0702	ANN	0.5	3	sp	0.81967	0.0166365
B0702	ANN	0.5	5	bl	0.82972	0.0158238
B0702	ANN	0.5	5	sp	0.81751	0.0168906
B0702	ANN	1	2	bl	0.82887	0.0159299
B0702	ANN	1	2	sp	0.82042	0.0167139
B0702	ANN	1	3	bl	0.83234	0.0156221
B0702	ANN	1	3	sp	0.82014	0.0166395
B0702	ANN	1	5	bl	0.83360	0.0155191
B0702	ANN	1	5	sp	0.81483	0.017103
A6802	ANN	0.1	2	bl	0.75895	0.0309888
A6802	ANN	0.1	2	sp	0.76981	0.0297402
A6802	ANN	0.1	3	bl	0.75884	0.0309667
A6802	ANN	0.1	3	sp	0.77317	0.0293918
A6802	ANN	0.1	5	bl	0.76622	0.0300824
A6802	ANN	0.1	5	sp	0.77437	0.0292311
A6802	ANN	0.5	2	bl	0.74603	0.0325336
A6802	ANN	0.5	2	sp	0.77195	0.0295328
A6802	ANN	0.5	3	bl	0.74678	0.0323564
A6802	ANN	0.5	3	sp	0.77615	0.0290444
A6802	ANN	0.5	5	bl	0.75017	0.0320583
A6802	ANN	0.5	5	sp	0.78059	0.0285565
A6802	ANN	1	2	bl	0.73231	0.0339585
A6802	ANN	1	2	sp	0.76849	0.0300113
A6802	ANN	1	3	bl	0.73878	0.0334784
A6802	ANN	1	3	sp	0.77608	0.0291567
A6802	ANN	1	5	bl	0.72818	0.0342868
A6802	ANN	1	5	sp	0.77899	0.0289338
A2902	ANN	0.1	2	bl	0.85568	0.0271662
A2902	ANN	0.1	2	sp	0.77646	0.0401157
A2902	ANN	0.1	3	bl	0.84578	0.0287565
A2902	ANN	0.1	3	sp	0.76980	0.0411688
A2902	ANN	0.1	5	bl	0.83937	0.0299274
A2902	ANN	0.1	5	sp	0.76699	0.0416051
A2902	ANN	0.5	2	bl	0.86767	0.025115
A2902	ANN	0.5	2	sp	0.78646	0.038547
A2902	ANN	0.5	3	bl	0.84953	0.0282129
A2902	ANN	0.5	3	sp	0.77625	0.0403114
A2902	ANN	0.5	5	bl	0.85229	0.0277452
A2902	ANN	0.5	5	sp	0.77009	0.0413251
A2902	ANN	1	2	bl	0.87360	0.0240285
A2902	ANN	1	2	sp	0.78947	0.0381055
