ALLELE	MODEL	BETA	SEQWEIGHT	PCC	MSE
A2902	PSSM	0	0	0.40989	3.58559e+06
A2902	PSSM	50	0	0.48699	688.672
A2902	PSSM	100	0	0.49025	568.465
A2902	PSSM	200	0	0.49456	463.803
A2902	PSSM	0	1	0.40830	3.5738e+06
A2902	PSSM	50	1	0.58779	167.25
A2902	PSSM	100	1	0.59946	137.907
A2902	PSSM	200	1	0.60742	120.809
B1801	PSSM	0	0	0.36293	3.73487e+06
B1801	PSSM	50	0	0.11730	1673.33
B1801	PSSM	100	0	0.11152	1415.85
B1801	PSSM	200	0	0.10847	1202.38
B1801	PSSM	0	1	0.36471	3.73897e+06
B1801	PSSM	50	1	0.20217	689.588
B1801	PSSM	100	1	0.20309	605.7
B1801	PSSM	200	1	0.20391	557.931
A0203	PSSM	0	0	0.25969	58133
A0203	PSSM	50	0	0.68345	47.9007
A0203	PSSM	100	0	0.68472	43.497
A0203	PSSM	200	0	0.68463	38.3268
A0203	PSSM	0	1	0.25726	58034.4
A0203	PSSM	50	1	0.68881	19.2229
A0203	PSSM	100	1	0.68516	16.2255
A0203	PSSM	200	1	0.68136	14.4081
B4002	PSSM	0	0	0.15489	4.27599e+06
B4002	PSSM	50	0	-0.00654	1474.34
B4002	PSSM	100	0	-0.00918	1240.72
B4002	PSSM	200	0	-0.01030	1058.33
B4002	PSSM	0	1	0.15609	4.28126e+06
B4002	PSSM	50	1	0.06005	625.676
B4002	PSSM	100	1	0.06174	552.061
B4002	PSSM	200	1	0.06289	510.583
A1101	PSSM	0	0	0.39000	255917
A1101	PSSM	50	0	0.69131	79.1059
A1101	PSSM	100	0	0.69793	63.9626
A1101	PSSM	200	0	0.70408	50.3035
A1101	PSSM	0	1	0.38795	255220
A1101	PSSM	50	1	0.71852	19.4123
A1101	PSSM	100	1	0.71820	15.4486
A1101	PSSM	200	1	0.71622	13.0837
A0202	PSSM	0	0	0.15890	26347.8
A0202	PSSM	50	0	0.66529	46.3609
A0202	PSSM	100	0	0.66833	42.3933
A0202	PSSM	200	0	0.67028	37.458
A0202	PSSM	0	1	0.15559	26285.3
A0202	PSSM	50	1	0.68571	18.4095
A0202	PSSM	100	1	0.68087	15.5379
A0202	PSSM	200	1	0.67587	13.7912
B2705	PSSM	0	0	0.23964	3.7911e+06
B2705	PSSM	50	0	0.50141	37.9154
B2705	PSSM	100	0	0.51642	25.1246
B2705	PSSM	200	0	0.52547	18.6684
B2705	PSSM	0	1	0.23928	3.78906e+06
B2705	PSSM	50	1	0.49713	18.9344
B2705	PSSM	100	1	0.50198	15.2636
B2705	PSSM	200	1	0.50339	13.376
A6801	PSSM	0	0	0.26461	73796.6
A6801	PSSM	50	0	0.55538	58.5212
A6801	PSSM	100	0	0.56216	52.5641
A6801	PSSM	200	0	0.56978	45.7095
A6801	PSSM	0	1	0.26281	73606.1
A6801	PSSM	50	1	0.60277	23.5076
A6801	PSSM	100	1	0.60758	19.1346
A6801	PSSM	200	1	0.60970	16.4224
B5301	PSSM	0	0	0.52751	133.041
B5301	PSSM	50	0	0.60603	111.977
B5301	PSSM	100	0	0.60724	99.4282
B5301	PSSM	200	0	0.60807	88.5236
B5301	PSSM	0	1	0.58560	119.132
B5301	PSSM	50	1	0.64327	76.1739
B5301	PSSM	100	1	0.64129	69.8266
B5301	PSSM	200	1	0.63884	65.8246
