ALLELE	MODEL	WEIGHTALGO	LAMBDA	PCC	MSE
A3002	SMM	MC	0.02	0.15616	10.1919
A3002	SMM	MC	0.1	0.04362	2.9594
A3002	SMM	MC	1	0.17567	0.192918
A3002	SMM	GD	5	0.43490	0.0596178
A3002	SMM	GD	10	0.38905	0.0669316
A3002	SMM	GD	50	0.28652	0.110899
A3002	SMM	MC	5	0.28137	0.10046
A3002	SMM	MC	10	0.24287	0.105749
A3002	SMM	MC	50	0.13832	0.155168
A2301	SMM	GD	0	0.51646	0.0906069
A2301	SMM	GD	0.02	0.52540	0.0857691
A2301	SMM	GD	0.1	0.55030	0.0746374
A2301	SMM	GD	1	0.60706	0.0608518
A2301	SMM	MC	0	0.01145	14.5339
A2301	SMM	MC	0.02	-0.03500	8.79116
A2301	SMM	MC	0.1	-0.04363	2.45939
A2301	SMM	MC	1	0.43057	0.138614
A2301	SMM	GD	5	0.53072	0.0696321
A2301	SMM	GD	10	0.46369	0.0777661
A2301	SMM	GD	50	0.34038	0.115517
A2301	SMM	MC	5	0.46322	0.0930869
A2301	SMM	MC	10	0.34544	0.116497
A2301	SMM	MC	50	0.32348	0.163428
B5401	SMM	GD	0	0.61813	0.0942129
B5401	SMM	GD	0.02	0.62961	0.0883264
B5401	SMM	GD	0.1	0.66378	0.0725605
B5401	SMM	GD	1	0.73174	0.0461452
B5401	SMM	MC	0	0.02789	6.29042
B5401	SMM	MC	0.02	0.05727	6.41889
B5401	SMM	MC	0.1	0.25720	0.567713
B5401	SMM	MC	1	0.56082	0.102788
B5401	SMM	GD	5	0.71622	0.0473948
B5401	SMM	GD	10	0.69051	0.052158
B5401	SMM	GD	50	0.59921	0.0735496
B5401	SMM	MC	5	0.62419	0.0616681
B5401	SMM	MC	10	0.64476	0.0602433
B5401	SMM	MC	50	0.56791	0.0914851
B3501	SMM	GD	0	0.57961	0.0512039
B3501	SMM	GD	0.02	0.58028	0.0510469
B3501	SMM	GD	0.1	0.58293	0.0504524
B3501	SMM	GD	1	0.59816	0.0468115
B3501	SMM	MC	0	0.52215	0.0710805
B3501	SMM	MC	0.02	0.49891	0.0775538
B3501	SMM	MC	0.1	0.49138	0.0799011
B3501	SMM	MC	1	0.54817	0.062879
B3501	SMM	GD	5	0.61029	0.0431817
B3501	SMM	GD	10	0.60504	0.0431825
B3501	SMM	GD	50	0.53536	0.0511585
B3501	SMM	MC	5	0.55963	0.0547735
B3501	SMM	MC	10	0.57915	0.0532647
B3501	SMM	MC	50	0.52999	0.072974
A3101	SMM	GD	0	0.71599	0.0344601
A3101	SMM	GD	0.02	0.71607	0.0344416
A3101	SMM	GD	0.1	0.71626	0.0343847
A3101	SMM	GD	1	0.71745	0.0338922
A3101	SMM	MC	0	0.56011	0.0735362
A3101	SMM	MC	0.02	0.52835	0.0780631
A3101	SMM	MC	0.1	0.69811	0.0368856
A3101	SMM	MC	1	0.71393	0.034218
A3101	SMM	GD	5	0.71879	0.032778
A3101	SMM	GD	10	0.71779	0.0323396
A3101	SMM	GD	50	0.69475	0.0354501
A3101	SMM	MC	5	0.71948	0.0334733
A3101	SMM	MC	10	0.71904	0.0337654
A3101	SMM	MC	50	0.68053	0.0433402
B1501	SMM	GD	0	0.66605	0.0187058
B1501	SMM	GD	0.02	0.66657	0.0186603
B1501	SMM	GD	0.1	0.66764	0.0185439
B1501	SMM	GD	1	0.67275	0.0178713
B1501	SMM	MC	0	0.56300	0.0323997
B1501	SMM	MC	0.02	0.54516	0.0335358
B1501	SMM	MC	0.1	0.58002	0.0318899
B1501	SMM	MC	1	0.59570	0.0277587
B1501	SMM	GD	5	0.68504	0.016897
B1501	SMM	GD	10	0.68307	0.0170395
B1501	SMM	GD	50	0.62166	0.0209283
