NETWORK SUMMARY
---------------
Input Layer shape: (1, 180)
Hidden Layer shape: (181, 2)
Output layer shape: (3, 1)
Total parameters: 365

[76, 100] Train Error: 0.0025 | Train Perf: 0.7017 | Eval Error: 0.0034 | Eval Perf: 0.5136
[77, 100] Train Error: 0.0025 | Train Perf: 0.7073 | Eval Error: 0.0034 | Eval Perf: 0.5142
[78, 100] Train Error: 0.0025 | Train Perf: 0.7076 | Eval Error: 0.0034 | Eval Perf: 0.5154
[79, 100] Train Error: 0.0024 | Train Perf: 0.71 | Eval Error: 0.0034 | Eval Perf: 0.5162
[80, 100] Train Error: 0.0024 | Train Perf: 0.7144 | Eval Error: 0.0034 | Eval Perf: 0.5166
[81, 100] Train Error: 0.0024 | Train Perf: 0.7158 | Eval Error: 0.0034 | Eval Perf: 0.5174
[82, 100] Train Error: 0.0024 | Train Perf: 0.7182 | Eval Error: 0.0033 | Eval Perf: 0.5181
[83, 100] Train Error: 0.0023 | Train Perf: 0.7214 | Eval Error: 0.0033 | Eval Perf: 0.5185
[84, 100] Train Error: 0.0023 | Train Perf: 0.7237 | Eval Error: 0.0033 | Eval Perf: 0.519
[85, 100] Train Error: 0.0023 | Train Perf: 0.7255 | Eval Error: 0.0033 | Eval Perf: 0.5196
[86, 100] Train Error: 0.0023 | Train Perf: 0.7285 | Eval Error: 0.0033 | Eval Perf: 0.5201
[87, 100] Train Error: 0.0022 | Train Perf: 0.7301 | Eval Error: 0.0033 | Eval Perf: 0.5208
[88, 100] Train Error: 0.0022 | Train Perf: 0.7343 | Eval Error: 0.0033 | Eval Perf: 0.521
[89, 100] Train Error: 0.0022 | Train Perf: 0.7352 | Eval Error: 0.0033 | Eval Perf: 0.5216
[90, 100] Train Error: 0.0022 | Train Perf: 0.7386 | Eval Error: 0.0033 | Eval Perf: 0.5218
[91, 100] Train Error: 0.0021 | Train Perf: 0.7428 | Eval Error: 0.0033 | Eval Perf: 0.5217
[92, 100] Train Error: 0.0021 | Train Perf: 0.7432 | Eval Error: 0.0033 | Eval Perf: 0.5221
[93, 100] Train Error: 0.0021 | Train Perf: 0.7448 | Eval Error: 0.0033 | Eval Perf: 0.5225
[94, 100] Train Error: 0.0021 | Train Perf: 0.7495 | Eval Error: 0.0033 | Eval Perf: 0.5225
[95, 100] Train Error: 0.002 | Train Perf: 0.7537 | Eval Error: 0.0033 | Eval Perf: 0.5223
[96, 100] Train Error: 0.002 | Train Perf: 0.7514 | Eval Error: 0.0033 | Eval Perf: 0.5228
[97, 100] Train Error: 0.002 | Train Perf: 0.7544 | Eval Error: 0.0033 | Eval Perf: 0.5229
[98, 100] Train Error: 0.002 | Train Perf: 0.7579 | Eval Error: 0.0033 | Eval Perf: 0.5227
[99, 100] Train Error: 0.002 | Train Perf: 0.7595 | Eval Error: 0.0033 | Eval Perf: 0.5227
[100, 100] Train Error: 0.0019 | Train Perf: 0.7616 | Eval Error: 0.0033 | Eval Perf: 0.5231
