Amb_a_1.0101_8 vs. Amb_a_1.0304_8,0.7538027753917097,0.6208791208791209,75.0,9.0,75.0,98.0,70.0,95.0,100.0,59.0,0.917181,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.34,0.8,0.46,2,2,7474.5
Amb_a_1.0101_8 vs. Amb_a_1.0401_8,0.7314702615753294,0.5879120879120878,70.0,7.0,70.0,87.0,65.0,81.0,100.0,59.0,0.896664,88.88888888888889,49.0,88.88888888888889,49.0,88.88888888888889,49.0,0.32000000000000006,0.8,0.48,2,2,6977.6
Amb_a_1.0101_8 vs. Amb_a_1.0501_8,0.608482411893595,0.5909090909090909,70.0,7.0,70.0,88.0,60.0,86.0,88.88888888888889,55.0,0.874931,77.77777777777779,46.0,77.77777777777779,46.0,77.77777777777779,46.0,0.31000000000000005,0.8,0.49,2,2,6978.3
Amb_a_1.0101_9 vs. Amb_a_1.0201_9,-0.33669749899388646,-0.39999999999999997,60.0,4.0,60.0,75.0,60.0,72.0,77.77777777777779,42.0,0.824169,0.0,-6.0,66.66666666666666,31.0,None,None,28.29,29.57,1.28,0,5,4302.6
Amb_a_1.0101_9 vs. Amb_a_1.0304_9,-0.5430267971040272,-0.6293706293706295,60.0,4.0,60.0,78.0,60.0,77.0,77.77777777777779,42.0,0.855212,0.0,-6.0,66.66666666666666,31.0,None,None,28.59,29.57,0.98,0,3,4284.599999999999
Amb_a_1.0101_9 vs. Amb_a_1.0401_9,-0.19594602576595668,-0.006060606060606061,60.0,2.0,60.0,73.0,55.00000000000001,59.0,66.66666666666666,43.0,0.829964,22.22222222222222,6.0,0.0,-16.0,None,None,28.87,29.57,0.7,0,3,4267.799999999999
Amb_a_1.0101_9 vs. Amb_a_1.0501_9,-0.6797116310727995,-0.4545454545454545,60.0,2.0,60.0,70.0,50.0,53.0,66.66666666666666,33.0,0.800171,0.0,-7.0,55.55555555555556,20.0,None,None,29.51,29.57,0.06,0,5,4229.4
Amb_a_1.0101_10 vs. Amb_a_1.0201_10,0.5163798216842566,0.28571428571428575,70.0,8.0,70.0,101.0,70.0,101.0,88.88888888888889,67.0,0.848751,11.11111111111111,-8.0,11.11111111111111,-8.0,None,None,3.130000000000001,12.25,15.38,0,0,6780.900000000001
Amb_a_1.0101_10 vs. Amb_a_1.0304_10,0.11708355409972694,0.05454545454545454,75.0,10.0,75.0,106.0,75.0,106.0,88.88888888888889,66.0,0.875209,22.22222222222222,-2.0,55.55555555555556,27.0,None,None,0.17999999999999972,12.25,12.43,0,0,7486.499999999999
Amb_a_1.0101_10 vs. Amb_a_1.0401_10,-0.0551769371597918,0.03846153846153846,60.0,3.0,60.0,98.0,60.0,89.0,66.66666666666666,50.0,0.852098,22.22222222222222,-5.0,22.22222222222222,-5.0,None,None,8.75,12.25,3.5,0,1,5475.0
Amb_a_1.0101_10 vs. Amb_a_1.0501_10,-0.11109469229447914,-0.10357142857142855,65.0,4.0,65.0,89.0,55.00000000000001,72.0,66.66666666666666,51.0,0.785026,11.11111111111111,-7.0,33.33333333333333,8.0,None,None,33.12,12.25,45.37,0,0,4347.2
Amb_a_1.0101_11 vs. Amb_a_1.0201_11,0.4668409921722555,0.532142857142857,70.0,8.0,70.0,103.0,70.0,105.0,88.88888888888889,53.0,0.904739,77.77777777777779,46.0,77.77777777777779,46.0,77.77777777777779,46.0,0.18000000000000005,0.47,0.65,1,1,6987.4
Amb_a_1.0101_11 vs. Amb_a_1.0304_11,0.7744560475272745,0.7582417582417583,75.0,10.0,75.0,108.0,75.0,110.0,88.88888888888889,53.0,0.933258,88.88888888888889,50.0,88.88888888888889,50.0,88.88888888888889,50.0,0.06,0.47,0.41,1,2,7495.5
Amb_a_1.0101_11 vs. Amb_a_1.0401_11,0.6760530261229295,0.6131868131868132,75.0,10.0,75.0,102.0,75.0,102.0,88.88888888888889,53.0,0.876797,88.88888888888889,50.0,88.88888888888889,50.0,88.88888888888889,50.0,1.29,0.47,1.76,1,2,7403.249999999999
Amb_a_1.0101_11 vs. Amb_a_1.0501_11,0.9199032120123355,0.9164835164835166,90.0,15.0,90.0,117.0,85.0,114.0,100.0,57.0,0.949459,100.0,54.0,100.0,54.0,100.0,54.0,0.12,0.47,0.59,1,1,8989.199999999999
Amb_a_1.0101_12 vs. Amb_a_1.0201_12,0.4513567426278804,0.5272727272727272,80.0,12.0,80.0,105.0,80.0,105.0,88.88888888888889,56.0,0.907542,66.66666666666666,42.0,66.66666666666666,42.0,66.66666666666666,42.0,0.9800000000000001,1.37,0.39,4,3,7921.599999999999
Amb_a_1.0101_12 vs. Amb_a_1.0304_12,0.7347391480838785,0.8111888111888113,85.0,14.0,85.0,107.0,85.0,106.0,88.88888888888889,54.0,0.925582,77.77777777777779,47.0,77.77777777777779,47.0,77.77777777777779,47.0,0.9100000000000001,1.37,0.46,4,3,8422.65
Amb_a_1.0101_12 vs. Amb_a_1.0401_12,0.39301618137687677,0.406060606060606,90.0,16.0,90.0,117.0,90.0,117.0,100.0,62.0,0.954346,88.88888888888889,53.0,88.88888888888889,53.0,88.88888888888889,53.0,0.029999999999999805,1.37,1.4,4,4,8997.3
Amb_a_1.0101_12 vs. Amb_a_1.0501_12,0.9181984817347015,0.9,85.0,14.0,85.0,105.0,85.0,105.0,100.0,56.0,0.932077,88.88888888888889,52.0,88.88888888888889,52.0,88.88888888888889,52.0,1.11,1.37,0.26,4,3,8405.65
Amb_a_1.0101_13 vs. Amb_a_1.0201_13,0.1385941295774747,0.3186813186813187,90.0,16.0,90.0,127.0,90.0,127.0,100.0,65.0,0.965363,88.88888888888889,53.0,88.88888888888889,53.0,None,None,8.41,9.93,1.52,0,1,8243.1
Amb_a_1.0101_13 vs. Amb_a_1.0304_13,0.913917591795444,0.7692307692307694,90.0,16.0,90.0,124.0,90.0,123.0,100.0,65.0,0.959504,88.88888888888889,49.0,88.88888888888889,49.0,None,None,8.23,9.93,1.7,0,3,8259.3
Amb_a_1.0101_13 vs. Amb_a_1.0401_13,0.6183187392307921,-0.07272727272727274,90.0,16.0,90.0,128.0,90.0,128.0,100.0,65.0,0.965848,88.88888888888889,54.0,88.88888888888889,54.0,None,None,2.1899999999999995,9.93,7.74,0,0,8802.9
Amb_a_1.0101_13 vs. Amb_a_1.0501_13,0.6165900140531512,0.3696969696969697,70.0,8.0,70.0,96.0,70.0,98.0,77.77777777777779,50.0,0.872244,77.77777777777779,43.0,77.77777777777779,43.0,None,None,3.51,9.93,6.42,0,0,6754.299999999999
Amb_a_1.0101_14 vs. Amb_a_1.0201_14,0.37885156823912125,0.2619047619047619,90.0,15.0,90.0,110.0,85.0,108.0,100.0,65.0,0.931053,88.88888888888889,42.0,88.88888888888889,42.0,88.88888888888889,42.0,1.8399999999999999,3.82,1.98,1,1,8834.4
Amb_a_1.0101_14 vs. Amb_a_1.0401_14,0.37885156823912125,0.2619047619047619,90.0,15.0,90.0,110.0,85.0,108.0,100.0,65.0,0.931053,88.88888888888889,42.0,88.88888888888889,42.0,88.88888888888889,42.0,1.88,3.82,1.94,1,1,8830.800000000001
Amb_a_1.0101_14 vs. Amb_a_1.0304_14,-0.051407622343716354,-0.09523809523809526,85.0,14.0,85.0,111.0,85.0,111.0,100.0,65.0,0.945824,77.77777777777779,40.0,77.77777777777779,40.0,77.77777777777779,40.0,2.6999999999999997,3.82,1.12,1,1,8270.5
Amb_a_1.0101_14 vs. Amb_a_1.0501_14,-0.15025332205185488,-0.28571428571428575,55.00000000000001,2.0,55.00000000000001,73.0,55.00000000000001,68.0,66.66666666666666,47.0,0.811458,0.0,-6.0,11.11111111111111,-2.0,0.0,-6.0,2.19,3.82,1.63,1,1,5379.550000000001
